Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color,DateTime_out,Outcome Type,Outcome Subtype,shelter_time
751393,*Clark Gable,2017-06-07 16:36:00,06/07/2017 04:36:00 PM,10000 Research Blvd in Austin (TX),Stray,Normal,Bird,Intact Male,1 year,Chicken,White/Black,2017-06-17 13:22:00,Adoption,,9 days 20:46:00
779661,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken,Red/Black,2018-09-22 19:12:00,Adoption,,18 days 06:10:00
800449,,2019-07-21 13:27:00,07/21/2019 01:27:00 PM,720 Pathway Lane in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Conure,Yellow/Green,2019-07-26 17:45:00,Adoption,,5 days 04:18:00
771817,,2018-05-10 12:06:00,05/10/2018 12:06:00 PM,12112 Lavinia Ln in Austin (TX),Stray,Normal,Bird,Unknown,2 years,Chicken Mix,Red,2018-05-24 11:36:00,Adoption,Foster,13 days 23:30:00
779676,,2018-09-04 13:02:00,09/04/2018 01:02:00 PM,107 E Brenham St in Manor (TX),Public Assist,Normal,Bird,Unknown,1 year,Chicken,Brown,2018-09-22 19:14:00,Adoption,,18 days 06:12:00
773388,,2018-05-31 13:36:00,05/31/2018 01:36:00 PM,"614 Commons Ford Rd, Austin, Tx 78733 in Austin (TX)",Stray,Normal,Bird,Unknown,1 year,Parakeet Mix,Blue/White,2018-06-04 00:00:00,Adoption,,3 days 10:24:00
711895,,2015-09-13 12:49:00,09/13/2015 12:49:00 PM,Valleyridge Dr And Dolphin Cv in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Conure Mix,Green,2015-09-16 19:32:00,Adoption,,3 days 06:43:00
754903,Sunshine,2017-07-26 13:47:00,07/26/2017 01:47:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Parakeet Mix,Green/Yellow,2017-07-27 16:18:00,Adoption,,1 days 02:31:00
720743,Rooster 27,2016-02-14 16:02:00,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Red,2016-03-08 13:47:00,Adoption,,22 days 21:45:00
787330,,2019-01-11 12:21:00,01/11/2019 12:21:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Unknown,1 year,Parakeet Mix,Blue,2019-01-13 16:21:00,Adoption,,2 days 04:00:00
